Glass Type,Thickness (mm),Length (m),Width (m),Aspect Ratio,None-Factor Load (kPa),Deflection (mm),Glass Type Factor (ShortLoad),Glass Type Factor (LongLoad),Load Share Factor (LSF),Load Resistance (kPa),Load Duration Factor
Heat-Strengthened,10,3.59,4.42,0.81,1.1,0.81,2,1.3,0.854,2.58,0.72
Heat-Strengthened,4,2.1,4.29,0.49,1.05,1.45,2,1.3,0.467,4.5,0.93
Laminated,10,3.17,2.5,1.27,1.94,1.53,3.8,2.85,0.801,9.2,0.72
Fully Tempered,6,2.8,4.53,0.62,1.84,2.26,4,3,0.588,12.52,0.36
Heat-Strengthened,4,2.95,2.69,1.1,0.6,5.16,2,1.3,0.869,1.38,0.93
Annealed,4,2.86,2.28,1.25,1.22,10.93,1,0.43,0.353,3.46,0.93
Fully Tempered,19,2.38,3.84,0.62,2.94,0.07,4,3,0.701,16.78,0.36
Fully Tempered,6,4.41,4.16,1.06,1.92,15.79,4,3,0.426,18.03,0.72
Laminated,6,2.39,2.82,0.85,0.72,0.75,3.8,2.85,0.89,3.07,0.72
Annealed,16,4.93,3.9,1.26,1.96,1.42,1,0.43,0.756,2.59,1
Laminated,8,2,4.32,0.46,1.02,0.14,3.8,2.85,0.862,4.5,0.36
Heat-Strengthened,19,2.86,2.29,1.25,1.45,0.12,2,1.3,0.788,3.68,0.31
Annealed,10,4.11,4.94,0.83,0.68,0.77,1,0.43,0.798,0.85,0.64
Annealed,10,1.73,3.59,0.48,1.79,0.09,1,0.43,0.893,2,1
Laminated,4,2.44,4.1,0.6,1.91,5.04,3.8,2.85,0.898,8.08,0.93
Annealed,4,2.24,4.1,0.55,2.75,5.16,1,0.43,0.375,7.33,0.64
Fully Tempered,6,2.18,4.14,0.53,1.58,0.78,4,3,0.884,7.15,0.83
Laminated,12,1.29,4.8,0.27,0.8,0.01,3.8,2.85,0.778,3.91,0.64
Annealed,5,3.96,2.78,1.42,2.56,35.4,1,0.43,0.334,7.66,0.31
Heat-Strengthened,10,2.47,1.68,1.47,1.53,0.66,2,1.3,0.841,3.64,0.36
Heat-Strengthened,5,1.07,1.12,0.96,2.19,0.4,2,1.3,0.829,5.28,0.83
Annealed,4,4.84,4.91,0.99,0.95,32.41,1,0.43,0.315,3.02,0.72
Heat-Strengthened,4,4.65,4.29,1.08,2.2,73.2,2,1.3,0.339,12.98,0.31
Heat-Strengthened,8,1.85,4.09,0.45,1.99,0.22,2,1.3,0.875,4.55,0.64
Annealed,10,4.48,3.03,1.48,2.23,5.79,1,0.43,0.842,2.65,1
Laminated,6,1.07,3.98,0.27,2.81,0.08,3.8,2.85,0.742,14.39,0.72
Fully Tempered,6,4.33,3.68,1.18,0.56,4.84,4,3,0.435,5.15,0.43
Laminated,16,4.89,2.74,1.78,0.81,0.9,3.8,2.85,0.768,4.01,0.83
Laminated,12,4.65,1.91,2.43,2.65,8.15,3.8,2.85,0.727,13.85,0.43
Fully Tempered,12,1.47,3.55,0.41,1.8,0.03,4,3,0.791,9.1,0.72
Fully Tempered,6,1.69,1.08,1.56,2.94,2.23,4,3,0.459,25.62,0.55
Heat-Strengthened,6,2.2,2.62,0.84,1.23,0.99,2,1.3,0.87,2.83,0.43
Annealed,12,2.37,3.46,0.68,1.86,0.19,1,0.43,0.899,2.07,0.36
Annealed,16,1.02,4.6,0.22,2.78,0,1,0.43,0.82,3.39,0.72
Heat-Strengthened,16,2.58,1.86,1.39,2.97,0.34,2,1.3,0.765,7.76,0.72
Annealed,6,2.26,1.39,1.63,1.66,3.13,1,0.43,0.364,4.56,0.83
Heat-Strengthened,4,2.6,1.12,2.32,2.89,40,2,1.3,0.504,11.47,1
Fully Tempered,8,3.05,1.66,1.84,1.63,3.6,4,3,0.618,10.55,0.31
Fully Tempered,4,1.68,2.95,0.57,1.53,1.26,4,3,0.623,9.82,0.93
Annealed,12,1.74,1.7,1.02,2.9,0.18,1,0.43,0.718,4.04,1
Annealed,5,2.85,3.88,0.73,2.19,5.82,1,0.43,0.564,3.88,0.31
Annealed,8,2.68,2.45,1.09,0.7,0.56,1,0.43,0.358,1.96,0.72
Laminated,16,4.38,2.82,1.55,0.95,0.66,3.8,2.85,0.818,4.41,0.43
Fully Tempered,12,3.75,3.91,0.96,1.1,0.63,4,3,0.79,5.57,0.43
Heat-Strengthened,5,2.08,3.32,0.63,2.43,2.14,2,1.3,0.528,9.2,0.31
Annealed,19,2.37,1.2,1.98,2.49,0.21,1,0.43,0.875,2.85,0.55
Laminated,19,2.19,2.32,0.94,1.61,0.05,3.8,2.85,0.876,6.98,0.83
Fully Tempered,8,4.65,2.97,1.57,2.01,13.42,4,3,0.627,12.82,0.31
Annealed,12,4.8,1.29,3.72,0.75,3.88,1,0.43,0.746,1.01,0.31
Heat-Strengthened,12,1.9,1.36,1.4,0.86,0.09,2,1.3,0.746,2.31,1
Fully Tempered,6,2.9,4.1,0.71,2.52,3.93,4,3,0.483,20.87,0.36
Heat-Strengthened,16,4.36,1.69,2.58,1.91,2.16,2,1.3,0.789,4.84,0.72
Annealed,6,1.34,4.67,0.29,0.71,0.04,1,0.43,0.43,1.65,0.55
Laminated,5,1.41,4.69,0.3,2.98,0.39,3.8,2.85,0.503,22.51,1
Laminated,8,4.92,1.6,3.07,2.83,43.94,3.8,2.85,0.853,12.61,0.83
Fully Tempered,6,1.66,4.19,0.4,2.91,0.48,4,3,0.463,25.14,0.43
Annealed,12,3.71,4.77,0.78,0.54,0.24,1,0.43,0.8,0.68,0.31
Annealed,5,1.38,1.22,1.13,0.65,0.3,1,0.43,0.547,1.19,0.72
Heat-Strengthened,12,1.48,2.61,0.57,2.63,0.05,2,1.3,0.734,7.17,0.83
Annealed,19,3.8,1.08,3.52,1.96,1.2,1,0.43,0.8,2.45,0.72
Heat-Strengthened,16,1.05,3.87,0.27,2.74,0,2,1.3,0.785,6.98,0.93
Fully Tempered,6,1.61,2.89,0.56,1.87,0.39,4,3,0.567,13.19,0.43
Heat-Strengthened,5,4.17,3.02,1.38,2.21,34.59,2,1.3,0.325,13.6,0.64
Annealed,8,1.33,3.28,0.41,0.83,0.03,1,0.43,0.537,1.55,0.72
Fully Tempered,12,3.83,3.83,1,2.75,1.75,4,3,0.714,15.41,0.43
Laminated,19,2.96,1.27,2.33,1.36,0.26,3.8,2.85,0.739,6.99,0.64
Heat-Strengthened,6,4.25,3.72,1.14,1.95,15.47,2,1.3,0.781,4.99,0.43
Heat-Strengthened,19,2.82,4.52,0.62,2.56,0.1,2,1.3,0.756,6.77,0.93
Laminated,10,2.47,3.22,0.77,0.72,0.16,3.8,2.85,0.838,3.26,0.93
Heat-Strengthened,16,2.83,1.13,2.5,0.83,0.25,2,1.3,0.78,2.13,0.43
Laminated,6,3.91,2.63,1.49,1.19,9.57,3.8,2.85,0.46,9.83,0.43
Annealed,4,4.16,2.12,1.96,1.85,88.65,1,0.43,0.841,2.2,0.31
Laminated,12,3.81,4.71,0.81,1.8,0.91,3.8,2.85,0.81,8.44,0.72
Laminated,8,1.32,1.59,0.83,1.91,0.14,3.8,2.85,0.571,12.71,0.93
Heat-Strengthened,19,3.87,1.01,3.83,1.35,0.95,2,1.3,0.843,3.2,0.93
Fully Tempered,10,2.99,2.79,1.07,2.45,1.37,4,3,0.825,11.88,1
Heat-Strengthened,12,2.26,4.86,0.47,2.62,0.16,2,1.3,0.864,6.06,0.31
Laminated,19,3.29,4.19,0.79,0.93,0.07,3.8,2.85,0.708,4.99,0.55
Laminated,19,4.91,4.22,1.16,1.54,0.6,3.8,2.85,0.733,7.98,0.83
Fully Tempered,12,1.34,2.63,0.51,1.68,0.02,4,3,0.753,8.92,0.93
Heat-Strengthened,4,2.33,1.37,1.7,1.95,14.23,2,1.3,0.76,5.13,0.72
Fully Tempered,19,1.45,1.66,0.87,0.86,0.01,4,3,0.706,4.87,0.31
Laminated,19,2.85,3.28,0.87,2.18,0.12,3.8,2.85,0.722,11.47,1
Heat-Strengthened,12,2.98,1.18,2.53,2.22,1.86,2,1.3,0.797,5.57,0.83
Laminated,4,1.54,2.49,0.62,2.47,1.7,3.8,2.85,0.3,31.29,0.64
Annealed,12,1.43,4.7,0.3,0.98,0.01,1,0.43,0.702,1.4,0.93
Laminated,12,2.01,3.99,0.5,2.22,0.1,3.8,2.85,0.727,11.6,0.55
Annealed,12,1.13,4.37,0.26,2.65,0.01,1,0.43,0.786,3.37,0.31
Annealed,8,3.75,3.36,1.12,1,2.25,1,0.43,0.52,1.92,0.55
Fully Tempered,12,3.32,4.28,0.78,1.61,0.52,4,3,0.781,8.25,0.72
Fully Tempered,12,3.41,3.42,1,2.93,1.31,4,3,0.763,15.36,0.64
Annealed,19,3.88,1.77,2.19,1.7,0.69,1,0.43,0.851,2,0.55
Laminated,10,3.1,2.78,1.12,2.02,1.31,3.8,2.85,0.832,9.23,0.93
Laminated,19,1.56,2.81,0.56,0.8,0,3.8,2.85,0.798,3.81,0.43
Heat-Strengthened,5,1.46,5,0.29,1.36,0.19,2,1.3,0.884,3.08,0.83
Laminated,8,4.26,1.73,2.46,1.74,14.04,3.8,2.85,0.448,14.76,0.36
Fully Tempered,6,3.53,2.27,1.56,2.49,17.12,4,3,0.439,22.69,0.72
Laminated,19,4.76,1.83,2.6,0.5,0.44,3.8,2.85,0.829,2.29,1
Laminated,6,4.21,1.96,2.15,2.72,43.82,3.8,2.85,0.331,31.23,0.64
Laminated,10,4.71,2.7,1.74,1.12,4.43,3.8,2.85,0.712,5.98,0.31
Laminated,10,4.38,4.66,0.94,0.63,0.97,3.8,2.85,0.702,3.41,0.31
Heat-Strengthened,4,3.27,2.68,1.22,2.32,30.22,2,1.3,0.624,7.44,0.83
Annealed,8,3.93,1.26,3.12,0.56,4.5,1,0.43,0.651,0.86,0.43
Heat-Strengthened,10,3.34,4.38,0.76,0.93,0.52,2,1.3,0.753,2.47,0.55
Laminated,16,2.02,1.99,1.02,1.31,0.05,3.8,2.85,0.824,6.04,0.36
Laminated,12,1.38,2.38,0.58,0.99,0.02,3.8,2.85,0.85,4.43,1
Annealed,5,2.15,1.66,1.3,1.12,2.25,1,0.43,0.456,2.46,0.31
Fully Tempered,6,4.05,3.81,1.06,1.29,8.24,4,3,0.728,7.09,0.72
Annealed,16,4.45,2.72,1.64,1.74,1.33,1,0.43,0.828,2.1,0.55
Heat-Strengthened,10,3.21,1.6,2.01,1.24,1.79,2,1.3,0.822,3.02,0.64
Fully Tempered,5,4.91,1.63,3.01,2.86,177.11,4,3,0.393,29.11,0.43
Fully Tempered,10,4.23,2.91,1.45,0.95,2.04,4,3,0.733,5.18,0.93
Laminated,8,1.52,1.06,1.43,1.87,0.36,3.8,2.85,0.355,20.02,0.43
Heat-Strengthened,8,1.22,4.99,0.24,2.75,0.05,2,1.3,0.593,9.27,0.31
Heat-Strengthened,8,4.41,1.2,3.68,1.87,24.99,2,1.3,0.886,4.22,0.64
Laminated,12,2.82,4.88,0.58,1.41,0.21,3.8,2.85,0.878,6.1,0.72
Heat-Strengthened,12,4.18,1.58,2.65,1.91,4.64,2,1.3,0.899,4.25,0.36
Fully Tempered,12,3.76,3.26,1.15,1.91,1.32,4,3,0.859,8.89,1
Fully Tempered,8,4,3.97,1.01,2.88,7.09,4,3,0.836,13.78,0.36
Heat-Strengthened,19,4.79,4.92,0.97,2.73,0.83,2,1.3,0.747,7.31,0.72
Laminated,5,1.94,3.23,0.6,1.92,1.32,3.8,2.85,0.429,17.01,0.83
Annealed,8,4.09,3.06,1.34,2.7,9.42,1,0.43,0.885,3.05,0.93
Heat-Strengthened,12,4.75,3.82,1.24,0.64,0.96,2,1.3,0.848,1.51,0.72
Heat-Strengthened,19,2.98,1.09,2.73,1.1,0.25,2,1.3,0.765,2.88,0.72
Heat-Strengthened,12,3.76,4.66,0.81,0.64,0.31,2,1.3,0.863,1.48,1
Fully Tempered,5,1.09,2.65,0.41,0.58,0.05,4,3,0.665,3.49,0.31
Heat-Strengthened,10,2.35,2.91,0.81,1.99,0.41,2,1.3,0.751,5.3,0.72
Annealed,5,4.62,2.53,1.83,2.45,76.62,1,0.43,0.538,4.55,0.31
Fully Tempered,8,1.02,4.25,0.24,1.36,0.01,4,3,0.878,6.2,0.36
Annealed,5,1.76,5,0.35,0.97,0.29,1,0.43,0.328,2.96,0.93
Laminated,8,1.59,2.93,0.54,2.12,0.18,3.8,2.85,0.32,25.17,0.93
Fully Tempered,12,4.87,1.54,3.16,2.47,11.33,4,3,0.883,11.19,0.43
Fully Tempered,4,2.91,3.85,0.76,2.93,16.66,4,3,0.347,33.78,0.83
Annealed,5,3.35,4.65,0.72,1.2,5.08,1,0.43,0.325,3.69,0.43
Annealed,6,1.32,1.6,0.82,2.19,0.38,1,0.43,0.393,5.57,0.83
Fully Tempered,4,2.56,4.69,0.55,2.69,7.52,4,3,0.823,13.07,0.72
Fully Tempered,4,3.06,3.82,0.8,2.4,16.82,4,3,0.58,16.55,0.72
Heat-Strengthened,19,1.72,1.42,1.21,1.37,0.02,2,1.3,0.864,3.17,0.83
Fully Tempered,5,1.39,2.01,0.69,2.06,0.6,4,3,0.32,25.75,0.64
Fully Tempered,16,1.52,3.06,0.5,1.8,0.01,4,3,0.721,9.99,0.64
Fully Tempered,8,3.65,3.87,0.94,1.84,3.22,4,3,0.808,9.11,0.93
Annealed,19,1.24,3.46,0.36,2.61,0.01,1,0.43,0.864,3.02,0.83
Heat-Strengthened,6,1.95,3.53,0.55,0.65,0.24,2,1.3,0.642,2.02,0.36
Heat-Strengthened,10,1.41,2.07,0.68,2.85,0.11,2,1.3,0.793,7.19,0.36
Laminated,10,2.77,3.28,0.84,2.9,1.02,3.8,2.85,0.852,12.93,0.55
Annealed,12,4.59,4.1,1.12,1.47,1.8,1,0.43,0.829,1.77,0.31
Annealed,19,1.19,2.14,0.56,0.88,0,1,0.43,0.807,1.09,0.36
Fully Tempered,4,1.13,1.6,0.71,1.63,0.51,4,3,0.767,8.5,0.55
Laminated,16,1.07,3.03,0.35,1.27,0,3.8,2.85,0.874,5.52,0.55
Laminated,4,1.18,4.84,0.24,2.59,0.32,3.8,2.85,0.675,14.58,0.72
Fully Tempered,6,1.34,3.34,0.4,2.03,0.18,4,3,0.595,13.65,0.83
Laminated,6,3.98,1.56,2.55,2.46,39.77,3.8,2.85,0.634,14.74,0.83
Annealed,10,3.79,3.11,1.22,1.68,2.18,1,0.43,0.867,1.94,0.93
Annealed,5,2.67,3.93,0.68,0.51,1.03,1,0.43,0.826,0.62,0.72
Fully Tempered,8,3.72,1.85,2.01,1.43,6.28,4,3,0.859,6.66,0.43
Fully Tempered,10,2.48,4.44,0.56,2.36,0.39,4,3,0.897,10.52,0.55
Annealed,10,2.94,1.8,1.63,1.02,0.92,1,0.43,0.886,1.15,0.55
Laminated,16,1.24,2.34,0.53,1.75,0.01,3.8,2.85,0.862,7.71,0.43
Fully Tempered,8,4.24,2.53,1.68,0.91,4.93,4,3,0.797,4.57,0.72
Heat-Strengthened,5,2.47,1.04,2.38,0.75,4.66,2,1.3,0.746,2.01,0.31
Fully Tempered,6,3.39,3.03,1.12,0.96,3.78,4,3,0.337,11.39,1
Fully Tempered,12,1.26,2.88,0.44,1.59,0.02,4,3,0.733,8.68,0.31
Annealed,8,4.32,3.8,1.14,1.24,4.34,1,0.43,0.321,3.86,0.72
Heat-Strengthened,4,1.06,3.62,0.29,2.48,0.26,2,1.3,0.645,7.69,0.93
Heat-Strengthened,16,4.1,1.96,2.09,2.21,1.69,2,1.3,0.771,5.73,0.64
Annealed,16,1.52,2.2,0.69,1.58,0.02,1,0.43,0.783,2.02,0.55
Heat-Strengthened,8,2.1,3.33,0.63,2.13,0.47,2,1.3,0.553,7.7,0.93
Annealed,10,3.26,3.65,0.89,1.7,1.03,1,0.43,0.826,2.06,0.83
Heat-Strengthened,10,4.35,3.84,1.13,1.85,3.37,2,1.3,0.867,4.27,0.43
Heat-Strengthened,19,3.32,1.14,2.91,0.61,0.21,2,1.3,0.862,1.42,0.43
Fully Tempered,12,4.96,1.56,3.18,2.52,12.28,4,3,0.85,11.86,0.31
Annealed,5,1.33,4.92,0.27,1.51,0.15,1,0.43,0.858,1.76,0.64
Fully Tempered,19,4.33,2.79,1.55,1.58,0.63,4,3,0.773,8.18,0.72
Annealed,4,3.3,4.02,0.82,1.26,11.35,1,0.43,0.365,3.45,0.55
Annealed,19,1.37,3.79,0.36,1.25,0,1,0.43,0.769,1.63,0.55
Heat-Strengthened,16,4.86,2.14,2.27,0.88,1.22,2,1.3,0.714,2.46,0.43
Laminated,5,3.61,1.04,3.47,0.96,27.23,3.8,2.85,0.374,9.75,0.36
Heat-Strengthened,12,1.58,1.36,1.16,2.56,0.13,2,1.3,0.897,5.71,0.64
Fully Tempered,10,2.45,4.53,0.54,1.1,0.17,4,3,0.849,5.18,0.64
Laminated,6,1.3,2.49,0.52,2.42,0.25,3.8,2.85,0.318,28.92,0.55
Annealed,6,4.82,4.17,1.16,1.18,13.82,1,0.43,0.813,1.45,0.36
Laminated,8,3.16,2.75,1.15,1.72,2.38,3.8,2.85,0.437,14.96,0.83
Heat-Strengthened,4,1.34,2.69,0.5,2.09,0.76,2,1.3,0.682,6.13,0.93
Fully Tempered,6,2.92,1.6,1.82,2.16,9.86,4,3,0.881,9.81,0.93
Fully Tempered,8,2.49,2.38,1.05,2.33,1.44,4,3,0.315,29.59,0.72
Annealed,19,2.65,4.33,0.61,2.19,0.07,1,0.43,0.768,2.85,0.36
Fully Tempered,19,4.13,2.26,1.83,1.64,0.67,4,3,0.712,9.21,0.83
Heat-Strengthened,16,2.87,3.93,0.73,0.71,0.06,2,1.3,0.774,1.83,0.72
Heat-Strengthened,8,2.09,2.54,0.82,1.8,0.52,2,1.3,0.796,4.52,0.72
Heat-Strengthened,5,1.11,4.83,0.23,0.99,0.05,2,1.3,0.487,4.07,0.43
Laminated,16,1.94,3.7,0.52,2.68,0.05,3.8,2.85,0.828,12.3,0.72
Heat-Strengthened,8,1.69,1.23,1.37,2.75,0.7,2,1.3,0.636,8.65,0.72
Heat-Strengthened,6,3.44,4.21,0.82,1.93,5.81,2,1.3,0.849,4.55,0.93
Annealed,5,2.4,3.62,0.66,1.8,2.58,1,0.43,0.524,3.44,0.83
Fully Tempered,16,1.93,4.13,0.47,2.85,0.05,4,3,0.799,14.27,0.31
Laminated,19,4.35,3.5,1.24,2.8,0.82,3.8,2.85,0.827,12.87,1
Heat-Strengthened,10,3.71,3.81,0.97,1.01,0.98,2,1.3,0.81,2.49,0.93
Annealed,6,2.77,3.83,0.72,2.29,3.18,1,0.43,0.884,2.59,0.31
Heat-Strengthened,4,3.61,3.4,1.06,2.77,42.24,2,1.3,0.606,9.14,0.36
Annealed,5,2.01,3.13,0.64,2.19,1.79,1,0.43,0.786,2.79,0.64
Annealed,6,2.76,4.7,0.59,2.49,2.78,1,0.43,0.591,4.21,0.31
Laminated,4,4.92,4.36,1.13,1.46,59.9,3.8,2.85,0.414,13.4,0.93
Laminated,5,2.42,3.46,0.7,2.52,3.9,3.8,2.85,0.826,11.59,0.72
Annealed,6,1.37,3.95,0.35,2.67,0.22,1,0.43,0.34,7.85,0.83
Annealed,16,3.11,2.67,1.16,2.84,0.47,1,0.43,0.707,4.02,0.31
Laminated,5,1.4,4.67,0.3,1.6,0.21,3.8,2.85,0.632,9.62,0.72
Annealed,8,1.85,1.38,1.34,1.1,0.36,1,0.43,0.469,2.35,0.43
Laminated,12,4.65,3.13,1.49,1.79,3.02,3.8,2.85,0.775,8.78,1
Fully Tempered,6,4.33,2.24,1.93,2.52,39.75,4,3,0.794,12.7,0.43
Heat-Strengthened,4,1.93,2.19,0.88,1.44,2.79,2,1.3,0.799,3.6,0.93
Heat-Strengthened,5,1.89,4.58,0.41,2.71,1.18,2,1.3,0.866,6.26,0.55
Annealed,6,2.24,1.66,1.35,2.87,3.94,1,0.43,0.834,3.44,0.64
Annealed,8,4.63,3.63,1.28,1.99,9.61,1,0.43,0.559,3.56,0.64
Fully Tempered,12,4.96,1.84,2.7,0.75,3.1,4,3,0.898,3.34,0.72
Heat-Strengthened,8,2.12,3.66,0.58,0.97,0.2,2,1.3,0.428,4.53,0.31
Fully Tempered,12,1.17,3.22,0.36,1.68,0.01,4,3,0.715,9.4,0.72
Laminated,12,4.97,2,2.48,2.89,11.08,3.8,2.85,0.879,12.49,0.36
Annealed,19,3.55,4.07,0.87,2.79,0.31,1,0.43,0.75,3.72,1
Annealed,5,1.75,1.27,1.38,1.18,1.36,1,0.43,0.73,1.62,0.93
Fully Tempered,4,3.11,1.9,1.64,0.74,12.36,4,3,0.562,5.27,0.43
Laminated,4,3.78,4.92,0.77,2.83,35.85,3.8,2.85,0.9,11.95,0.64
Heat-Strengthened,5,1.61,3.36,0.48,1.18,0.37,2,1.3,0.619,3.81,0.83
Annealed,12,3.43,2.38,1.44,2.68,1.76,1,0.43,0.876,3.06,0.93
Heat-Strengthened,8,4.06,3.92,1.04,1.97,5.21,2,1.3,0.718,5.49,0.43
Laminated,5,4.39,2.77,1.58,2.33,54.26,3.8,2.85,0.427,20.74,0.36
Fully Tempered,8,4.77,1.6,2.98,1.56,21.4,4,3,0.35,17.83,0.72
Fully Tempered,16,4.42,1.24,3.56,2.45,4,4,3,0.835,11.74,0.43
Laminated,6,3.22,4.78,0.67,2.53,5.15,3.8,2.85,0.739,13.01,0.31
Annealed,19,1.53,2.96,0.52,1.95,0.01,1,0.43,0.825,2.36,0.64
Laminated,8,4.23,3.09,1.37,2.94,11.62,3.8,2.85,0.676,16.53,0.55
Heat-Strengthened,6,4.92,3.29,1.5,1.79,28.84,2,1.3,0.825,4.34,0.83
Annealed,16,3.17,1.85,1.71,0.86,0.25,1,0.43,0.731,1.18,0.31
Laminated,8,3.88,2.78,1.4,2,6.22,3.8,2.85,0.563,13.5,0.31
Laminated,12,3.13,4.95,0.63,0.72,0.16,3.8,2.85,0.842,3.25,0.83
Annealed,16,2.39,2.17,1.1,0.95,0.07,1,0.43,0.717,1.32,0.93
Heat-Strengthened,6,2.61,1.4,1.86,1.81,6.03,2,1.3,0.475,7.62,0.93
Annealed,19,2.52,1.34,1.88,1.93,0.18,1,0.43,0.803,2.4,0.64
Heat-Strengthened,5,4.86,4.97,0.98,2.52,44.21,2,1.3,0.819,6.15,0.83
Laminated,10,4.09,4.54,0.9,1.37,1.65,3.8,2.85,0.775,6.72,0.43
Heat-Strengthened,6,2.75,4.89,0.56,1.21,1.28,2,1.3,0.803,3.01,0.55
Heat-Strengthened,12,3.75,1.04,3.61,0.8,1.91,2,1.3,0.878,1.82,0.64
Laminated,8,4.46,3.26,1.37,1,4.63,3.8,2.85,0.621,6.12,0.31
Annealed,5,1.39,1.33,1.05,2.16,0.95,1,0.43,0.87,2.48,0.93
Heat-Strengthened,6,1.78,1.18,1.51,1.27,1.09,2,1.3,0.47,5.4,0.36
Laminated,4,1.45,2.37,0.61,1.19,0.68,3.8,2.85,0.336,13.46,0.72
Laminated,10,2.59,2.44,1.06,1.14,0.41,3.8,2.85,0.858,5.05,0.43
Laminated,6,4.4,2.57,1.71,0.98,14.36,3.8,2.85,0.577,6.45,0.64
Heat-Strengthened,8,4.79,1.39,3.45,1.4,22.48,2,1.3,0.5,5.6,0.64
Heat-Strengthened,6,4.79,3.44,1.39,2.82,39.04,2,1.3,0.821,6.87,0.93
Fully Tempered,10,1.3,4.64,0.28,0.57,0.01,4,3,0.706,3.23,0.93
Heat-Strengthened,12,3.48,3.26,1.07,2.84,1.44,2,1.3,0.837,6.79,0.55
Heat-Strengthened,4,2.27,1.29,1.76,1.51,10.54,2,1.3,0.863,3.5,0.72
Heat-Strengthened,4,1.79,2.94,0.61,2.15,2.29,2,1.3,0.505,8.51,0.64
Laminated,19,4.59,2.93,1.57,1.41,0.68,3.8,2.85,0.714,7.5,0.55
Laminated,16,2.07,1.19,1.74,0.99,0.08,3.8,2.85,0.727,5.17,0.31
Fully Tempered,5,4.52,4.31,1.05,0.6,9.08,4,3,0.724,3.31,0.83
Heat-Strengthened,8,4.93,3.05,1.62,2.14,17.57,2,1.3,0.666,6.43,0.72
Laminated,6,3.1,1.15,2.7,1.92,15.5,3.8,2.85,0.804,9.07,0.36
Annealed,8,1.61,1.72,0.94,2.63,0.39,1,0.43,0.303,8.68,0.83
Annealed,6,4.2,4.37,0.96,2.81,18.1,1,0.43,0.813,3.46,0.93
Fully Tempered,16,4.57,1.98,2.31,2.55,2.98,4,3,0.786,12.98,0.93
Heat-Strengthened,16,4.83,2.45,1.97,2.07,2.44,2,1.3,0.817,5.07,0.83
Annealed,10,1.88,4.86,0.39,1.3,0.07,1,0.43,0.868,1.5,1
Annealed,19,1.75,1.59,1.1,0.82,0.01,1,0.43,0.732,1.12,0.55
Fully Tempered,12,3.31,4.99,0.66,2.12,0.58,4,3,0.803,10.56,0.93
Annealed,16,3.55,3.71,0.96,2.71,0.55,1,0.43,0.72,3.76,0.36
Laminated,19,1.22,1.97,0.62,2.26,0.01,3.8,2.85,0.813,10.56,0.93
Annealed,5,2.11,2.26,0.93,2.79,3.82,1,0.43,0.32,8.72,1
